Suite, Test, Size, Count, Average, StdDev
Adler32, Stream, 10000000, 1078, 9284, 8292
Adler32, Movie, 988546604, 108134, 9141, 7862
Adler32, Jpegs, 6704232, 734, 9123, 7706
Adler32, Jpegs, 5700295, 598, 9538, 8291
Adler32, Jpegs, 66201, 8, 9397, 8303
Adler32, Pdfs, 510232, 67, 7566, 6569
Adler32, Pdfs, 1576498, 182, 8670, 7402
Adler32, Pdfs, 154628, 15, 10866, 8289
Adler32, Pdfs, 5550, 1, 0, 0
Adler32, Pdfs, 776142, 92, 8379, 6634
BuzHash, Stream, 10000000, 1152, 8682, 7563
BuzHash, Movie, 988546604, 120797, 8183, 6988
BuzHash, Jpegs, 6704232, 812, 8262, 6634
BuzHash, Jpegs, 5700295, 658, 8666, 7700
BuzHash, Jpegs, 66201, 9, 7746, 5914
BuzHash, Pdfs, 510232, 61, 7953, 6592
BuzHash, Pdfs, 1576498, 203, 7776, 7396
BuzHash, Pdfs, 154628, 11, 14473, 11474
BuzHash, Pdfs, 5550, 2, 0, 0
BuzHash, Pdfs, 776142, 98, 7999, 6846
RabinKarp, Stream, 10000000, 1201, 8305, 7066
RabinKarp, Movie, 988546604, 120167, 8226, 7053
RabinKarp, Jpegs, 6704232, 813, 8236, 6645
RabinKarp, Jpegs, 5700295, 664, 8591, 7240
RabinKarp, Jpegs, 66201, 11, 5092, 4562
RabinKarp, Pdfs, 510232, 74, 6947, 5437
RabinKarp, Pdfs, 1576498, 177, 8945, 7139
RabinKarp, Pdfs, 154628, 20, 8108, 4818
RabinKarp, Pdfs, 5550, 2, 0, 0
RabinKarp, Pdfs, 776142, 92, 8500, 7522
